Message,Category,gtrans_el
That is Good,0,Αυτό είναι καλό
Awesome video this is one of my favorite songs,0,Υπέροχο βίντεο αυτό είναι ένα από τα αγαπημένα μου τραγούδια
If only I had the body like Katy Perry . She looks so hot. I love her,0,Αν είχα σώμα σαν την Katy Perry. Φαίνεται τόσο καυτή. την αγαπώ
DOWNLOAD RAPID FACEBOOK FOR FREE NOW Link,1,ΚΑΤΕΒΑΣΤΕ ΤΩΡΑ ΔΩΡΕΑΝ το RAPID FACEBOOK Σύνδεσμος
"The song is very good ...but the video makes no sense...just a nonsense video...I mean she is telling her story of being stuck on an island, but the song does not fit in the situation...but nevermind...The song is good",0,"Το τραγούδι είναι πολύ καλό ...αλλά το βίντεο δεν βγάζει νόημα...απλά ένα ανόητο βίντεο...Εννοώ ότι λέει την ιστορία της κολλημένης σε ένα νησί, αλλά το τραγούδι δεν ταιριάζει στην κατάσταση... αλλά δεν πειράζει...Το τραγούδι είναι καλό"
Who else would give Katy perry a good old mighty roar,0,Ποιος άλλος θα έδινε στην Κέιτι Πέρι έναν παλιό καλό δυνατό βρυχηθμό
OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK THAT IS A TOTAL SUBSCRIBE,0,OMG Σ' ΑΓΑΠΩ KATY PERRY ΤΑ ΤΡΑΓΟΥΔΙΑ ΣΟΥ ROCK ΠΟΥ ΕΙΝΑΙ ΣΥΝΟΛΙΚΗ ΕΓΓΡΑΦΗ
Link esyest money ever. join to our team,1,Συνδέστε τα πιο εύκολα χρήματα ποτέ. εγγραφείτε στην ομάδα μας
Katy Perry Roar Official Link,0,Επίσημος σύνδεσμος Katy Perry Roar
FREe ITunes Gift card Link,1,ΔΩΡΕΑΝ σύνδεσμος δωροκάρτας ITunes
"i was playing this song and the baby in my belly started to dance to it.....sooooo cute, but had to take the song out because of copy right and add in a youtube made song....still sooo cute the baby danced to this song LMFAO Link",1,"Έπαιζα αυτό το τραγούδι και το μωρό στην κοιλιά μου άρχισε να το χορεύει.....πολύ χαριτωμένο, αλλά έπρεπε να βγάλω το τραγούδι λόγω του δικαιώματος αντιγραφής και να το προσθέσω σε ένα τραγούδι που δημιουργήθηκε από το youtube...ακόμα πολύ χαριτωμένο το Το μωρό χόρεψε με αυτό το τραγούδι LMFAO Link"
katy perry is awesome,0,Η Katy Perry είναι υπέροχη
this song is so addicting. the hook is dope and catchy. love the video too. I am getting popular fast because i rap real.. thumbs up if you piss next to the water in the toilet so its quiet................................,1,αυτό το τραγούδι είναι τόσο εθιστικό. ο γάντζος είναι νάρκης και πιασάρικος. αγαπώ και το βίντεο. Γίνομαι δημοφιλής γρήγορα γιατί κάνω ραπ αληθινή.. μπράβο αν τσαντίζεσαι δίπλα στο νερό στην τουαλέτα οπότε είναι ήσυχο............. .........
Nice song .See my new track.,1,Ωραίο τραγούδι .Δείτε το νέο μου κομμάτι.
I love this sooooooooooooong I love katy perry,0,Λατρεύω πολύ αυτό το λατρεύω την Katy Perry
What does that tattoo on her right tricep say,0,Τι λέει αυτό το τατουάζ στον δεξιό τρικέφαλο της
Since when has Katy Perry had her own YouTube channel,0,Από πότε η Katy Perry έχει το δικό της κανάλι στο YouTube
"Every time I watch this mv I just so so so glad that I live in a world that do not have to worry about running from a real, human eating tiger.",0,"Κάθε φορά που παρακολουθώ αυτό το mv, χαίρομαι τόσο πολύ που ζω σε έναν κόσμο που δεν χρειάζεται να ανησυχώ μήπως τρέξω από μια πραγματική, ανθρώπινη τίγρη που τρώει."
i rekt you are mum last nite. cuz da haterz were 2 much 4 meh lik dis if you cri evertim and sponswer mi robox vidz Link,1,δηλώνω ότι είσαι μαμά την τελευταία νύχτα. cuz da haterz were 2 much 4 meh lik dis if you cri evertim and sponswer mi robox vidz Link
eye of the tiger i am the champion seems like katy perry is using titles of old rock songs for lyrics..,0,Το eye of the tiger I am the Championship φαίνεται ότι η Katy Perry χρησιμοποιεί τίτλους παλιών ροκ τραγουδιών για στίχους..
She is a perfect wonder.....,0,Είναι ένα τέλειο θαύμα......
she is horrible at acting. cringe worhty.,0,είναι τρομερή στην υποκριτική. τσακίζω άξιος.
"I love katy fashions tiger, care to visit my blog sinar jahitan I also have the tiger collections tqvm",1,"Λατρεύω το katy fashions tiger, φροντίστε να επισκεφτείτε το blog μου sinar jahitan Έχω επίσης τις συλλογές tiger tqvm"
"Anyone Who LOVEs music , please go check out my youtube page and tell me what you think . I just put a video up and will be doing more song. I am just trying to get myself started. Any love is much Appreciated",1,"Όποιος αγαπά τη μουσική, παρακαλώ επισκεφθείτε τη σελίδα μου στο YouTube και πείτε μου τη γνώμη σας. Μόλις έβαλα ένα βίντεο και θα κάνω περισσότερα τραγούδια. Απλώς προσπαθώ να ξεκινήσω τον εαυτό μου. Οποιαδήποτε αγάπη εκτιμάται πολύ"
Is that tiger called 'Katty Purry',0,Αυτή η τίγρη ονομάζεται Katty Purry
"blue eyes, cannot be trusted. uranus bless america.",0,"μπλε μάτια, δεν είναι αξιόπιστο. ουρανος ευλογησε την αμερικη."
"Rap from Belarus, check my channel",1,"Ραπ από τη Λευκορωσία, ελέγξτε το κανάλι μου"
follow me on twitter freyacumqueen,1,ακολουθήστε με στο twitter freyacumqueen
"C'mon Katy you are so close to 14,000,000 subscribers...come up with another hit like this and it will happen",0,Έλα Katy που είσαι τόσο κοντά στους 14.000.000 συνδρομητές...έλα με μια άλλη επιτυχία όπως αυτή και θα συμβεί
VOTE FOR KATY FOR THE EMAs KATYCATS Link,1,ΨΗΦΙΣΤΕ ΤΗΝ KATY ΓΙΑ ΤΟ EMAs KATYCATS Link
"My honest opinion. It is a very mediocre song. Nothing unique or special about her music, lyrics or voice. Nothing memorable like Billie Jean or Beat It. Before her millions of fans reply with hate comments, i know this is a democracy and people are free to see what they want. But then do not I have the right to express my opinion Please do not reply with dumb comments lie if you do not like it do not watch it . I just came here to see what is the buzz about 661 million views and did not like what i saw. OK",0,"Η ειλικρινής μου γνώμη. Είναι ένα πολύ μέτριο τραγούδι. Τίποτα μοναδικό ή ιδιαίτερο στη μουσική, τους στίχους ή τη φωνή της. Τίποτα αξέχαστο όπως η Billie Jean ή το Beat It. Προτού απαντήσουν εκατομμύρια θαυμαστές της με σχόλια μίσους, ξέρω ότι πρόκειται για δημοκρατία και οι άνθρωποι είναι ελεύθεροι να δουν ό,τι θέλουν. Αλλά τότε δεν έχω το δικαίωμα να εκφράσω τη γνώμη μου Παρακαλώ μην απαντάτε με χαζά σχόλια ψέματα αν δεν σας αρέσει μην το παρακολουθείτε. Μόλις ήρθα εδώ για να δω τι είναι το buzz περίπου 661 εκατομμύρια προβολές και δεν μου άρεσε αυτό που είδα. Εντάξει"
Visit my channel,1,Επισκεφθείτε το κανάλι μου
Wow she is sexy XD,0,Πω πω είναι σέξι XD
If you looking for new music to listen to check out cece song called dead2me on iTunes music video out now right here on youtube.,1,"Αν ψάχνετε για νέα μουσική για να ακούσετε για να δείτε το τραγούδι cece που ονομάζεται dead2me στο μουσικό βίντεο του iTunes, βγείτε τώρα εδώ στο youtube."
Katy has a voice of an Angel,0,Η Katy έχει φωνή αγγέλου
"Hey guys, I was working last night on this project, it is a music streamer like spotify, but it allows you to download the files to listen to when you are offline. Opening it as a free beta, feel free to try it out download Link",1,"Γεια σας παιδιά, δούλευα χθες το βράδυ σε αυτό το έργο, είναι μια ροή μουσικής όπως το spotify, αλλά σας επιτρέπει να κάνετε λήψη των αρχείων για να τα ακούσετε όταν είστε εκτός σύνδεσης. Ανοίγοντας το ως δωρεάν beta, μη διστάσετε να το δοκιμάσετε Σύνδεσμος λήψης"
"Man she is hot in this one, male companions visit my profile to check out the coolest sextoy ever made",1,"Ο άντρας είναι καυτός σε αυτό, οι άνδρες σύντροφοι επισκέπτονται το προφίλ μου για να δουν το πιο cool sextoy που έγινε ποτέ"
Like my page please... Link,1,Κάντε like στη σελίδα μου παρακαλώ... Link
This video is so racist There are only animals.,0,Αυτό το βίντεο είναι τόσο ρατσιστικό Υπάρχουν μόνο ζώα.
Man she is BEAUTIFUL,0,Ο άντρας είναι ΠΑΝΕΜΟΡΦΗ
want to win borderlands the pre sequel check my channel,1,"Θέλω να κερδίσω τα σύνορα για τη συνέχεια, ελέγξτε το κανάλι μου"
Hi I would appreciate it if you all could help to like this poster on Facebook Link,1,"Γεια, θα το εκτιμούσα αν μπορούσατε όλοι να βοηθήσετε να σας αρέσει αυτή η αφίσα στο Facebook Link"
Plz help me getting 1.000 Subscribers tonight today. Thanks to all who sub me,1,Παρακαλώ βοηθήστε με να αποκτήσω 1.000 συνδρομητές απόψε σήμερα. Ευχαριστώ όλους όσους με υποβάλλουν
Yesterday this video have 1 million likes and now it has 2 million,0,Χθες αυτό το βίντεο είχε 1 εκατομμύριο likes και τώρα έχει 2 εκατομμύρια
why tiger succumbs to a beautiful girl .probably male tiger..... ha.ha.ha..,0,γιατί η τίγρη υποκύπτει σε ένα όμορφο κορίτσι .μάλλον αρσενικό τίγρη..... χα.χα.χα..
Best song ever,0,Το καλύτερο τραγούδι
Thank you KatyPerryVevo for your instagram likes axeljonssons,1,Σας ευχαριστούμε KatyPerryVevo για τα likes σας στο instagram axeljonssons
Please Subscribe In My Channel,1,Παρακαλώ εγγραφείτε στο κανάλι μου
"She is good. Does she make any more music If she does not, she should",0,"Είναι καλή. Κάνει άλλη μουσική Αν δεν το κάνει, θα έπρεπε"
I LOVE YOU KATTY PERRY lt 3,0,Σ' ΑΓΑΠΩ KATY PERRY lt 3
"HONESTLY, I WANT TO SEE YOU BE BRAVE oh wait...",0,"ΕΙΛΙΚΡΙΝΑ, ΘΕΛΩ ΝΑ ΣΕ ΔΩ ΝΑ ΕΙΣΑΙ ΓΕΝΝΑΙ, ω περίμενε..."
this video is great ..... I love this........and like much katy perry,0,αυτό το βίντεο είναι υπέροχο ..... μου αρέσει αυτό.........και μου αρέσει πολύ η Katy Perry
"Good thing she brought her spray on tan, hairstylist, makeup artist, and cameraman.",0,"Ευτυχώς που έφερε το σπρέι της για μαύρισμα, κομμωτή, καλλιτέχνη μακιγιάζ και κάμεραμαν."
"666,002,018 views 666 million. 666 Katy Perry illuminati confirmed",0,666.002.018 προβολές 666 εκατομμύρια. 666 Επιβεβαιώθηκε η Katy Perry illuminati
"I make guitar covers, please have a look at my channel",1,"Φτιάχνω εξώφυλλα κιθάρας, ρίξτε μια ματιά στο κανάλι μου"
It should be illegal to be this goodlooking as this babe is...,0,Θα έπρεπε να είναι παράνομο να είσαι τόσο όμορφος όπως είναι αυτό το μωρό...
katy is mine the girl of my dreams,0,Η Katy είναι δική μου το κορίτσι των ονείρων μου
I love this song,0,λατρευώ αυτό το τραγούδι
She is fit,0,Είναι σε φόρμα
I love the song roar it make me think am fill the way,0,Λατρεύω το τραγούδι που με κάνει να σκέφτομαι ότι γεμίζω το δρόμο
"How do you forget you have a choice, and what the fuck, surviving a plane crash has a 1 1000 chance of happening.",0,"Πώς ξεχνάς ότι έχεις επιλογή και τι διάολο, το να επιζήσεις από ένα αεροπορικό δυστύχημα έχει 1.000 πιθανότητες να συμβεί."
"she is a fool. this is a foolish video. the lyrics are all about her and how great she is. she is arrogant, obviously. but the thing is that there are a lot of idiots.. look how many hits this garnered. the young stupid girls who listen to her are numbering in the millions i guess. this video is a piece of trash. why would anyone ever like it or listen to it because these stupid little girls have idiots for fathers and mothers.. and so they are going to turn into idiots also.. just like this stupid singer.",0,"είναι ανόητη. αυτό είναι ένα ανόητο βίντεο. οι στίχοι είναι όλα για αυτήν και πόσο υπέροχη είναι. είναι αλαζονική, προφανώς. αλλά το θέμα είναι ότι υπάρχουν πολλοί ηλίθιοι.. κοίτα πόσα χτυπήματα συγκέντρωσε αυτό. τα νεαρά ανόητα κορίτσια που την ακούνε υπολογίζονται σε εκατομμύρια υποθέτω. αυτό το βίντεο είναι ένα σκουπίδι. γιατί να αρέσει σε κανέναν ή να το ακούει γιατί αυτά τα ανόητα κοριτσάκια έχουν ηλίθιους για μπαμπάδες και μητέρες.. και έτσι θα μετατραπούν σε ηλίθιους επίσης.. ακριβώς όπως αυτός ο ηλίθιος τραγουδιστής."
"ATTENTION WE NEED 10 Million Views More for FIREWORK to Reach 500M .. We have only 1 and half day left for katy's birtgday. Listen How it could be possible gt gt JUST Open different Tabs from Different Browser gt gt Do Not Watch Full Video, Remember We do not have time on hand, Its Time Wasting. View it only for 30 sec. Plz thumbs up and share",1,"ΠΡΟΣΟΧΗ ΧΡΕΙΑΖΟΜΑΣΤΕ 10 Εκατομμύρια Προβολές για το ΠΥΡΟΤΕΧΝΗΜΑ να φτάσει τα 500 εκατομμύρια .. Έχουμε μόνο 1μιση μέρα για τα γενέθλια της Katy. Ακούστε Πώς θα μπορούσε να είναι δυνατό gt gt ΑΠΛΑ Ανοίξτε διαφορετικές καρτέλες από Διαφορετικό πρόγραμμα περιήγησης gt gt Μην παρακολουθείτε πλήρες βίντεο, Θυμηθείτε ότι δεν έχουμε χρόνο στη διάθεσή μας, Χάνεται ο χρόνος. Δείτε το μόνο για 30 δευτερόλεπτα. Μπράβο και κοινοποιήστε"
rapid facebook the free version of all colors and is characterized by fast and beauty download now Link,1,rapid facebook η δωρεάν έκδοση όλων των χρωμάτων και χαρακτηρίζεται από γρήγορη και ομορφιά λήψη τώρα Link
Hey Katycats We are releasing a movie at midnight UK time to celebrate katy's 30th birthday Be sure to subscribe to our channel and watch the movie,1,Hey Katycats Κυκλοφορούμε μια ταινία τα μεσάνυχτα ώρα Ηνωμένου Βασιλείου για να γιορτάσουμε τα 30ά γενέθλια της Katy Φροντίστε να εγγραφείτε στο κανάλι μας και να παρακολουθήσετε την ταινία
I just realized that this verses in this song have the exact same melody as the verses in Hey Ho by the Lumineers.,0,Μόλις συνειδητοποίησα ότι αυτοί οι στίχοι σε αυτό το τραγούδι έχουν την ίδια ακριβώς μελωδία με τους στίχους στο Hey Ho των Lumineers.
D This is my favorite song,0,D Αυτό είναι το αγαπημένο μου τραγούδι
this song never get's old lt 3,0,αυτό το τραγούδι δεν παλιώνει ποτέ lt 3
HAPPY BIRTHDAY KATY Link That s not me,1,ΧΡΟΝΙΑ ΠΟΛΛΑ KATY Link Αυτός δεν είμαι εγώ
"Hey I know most people do not like these kind of comments amp see at spam, but I see as free advertising . So please check out my cover of Sparks Fly by Taylor Swift It is not the best ever I know, but maybe with some encouraging words of wisdom from many of you I can become better Please go to my channel and check it out",1,"Γεια σου, ξέρω ότι στους περισσότερους δεν αρέσουν αυτού του είδους τα σχόλια στα ανεπιθύμητα, αλλά εγώ βλέπω ως δωρεάν διαφήμιση . Ρίξτε λοιπόν μια ματιά στο εξώφυλλό μου στο Sparks Fly από την Taylor Swift Δεν είναι ό,τι καλύτερο έχω γνωρίσει ποτέ, αλλά ίσως με μερικά ενθαρρυντικά λόγια σοφίας από πολλούς από εσάς μπορώ να γίνω καλύτερος Πηγαίνετε στο κανάλι μου και δείτε το"
Www.youniqueproducts.com joannagordon Younique by Joanna Gordon www.youniqueproducts.com,1,Www.youniqueproducts.com joannagordon Younique από την Joanna Gordon www.youniqueproducts.com
I like you . Katy Perry 600 60 6,0,Μου αρέσεις . Katy Perry 600 60 6
Glad to know i am not the only one who knows its katheryn's birthday today happy birthday katy...and my sister. they seriously have the same birthday...,0,Χαίρομαι που ξέρω ότι δεν είμαι ο μόνος που γνωρίζει τα γενέθλια της Katheryn σήμερα χρόνια πολλά Katy...και την αδερφή μου. έχουν σοβαρά τα ίδια γενέθλια...
Katy Perry cannot sing for shit. All i hear it autotune.,0,Η Katy Perry δεν μπορεί να τραγουδήσει για σκατά. Το μόνο που το ακούω αυτοσυντονίζεται.
I fucking hate her. Why Because she do not write her songs she got producers for that. Second why tha fack is she in every song almost nude mayby because she is an attention hooker.,0,"Την μισώ. Γιατί επειδή δεν γράφει τα τραγούδια της πήρε παραγωγούς για αυτό. Δεύτερον, γιατί σε κάθε τραγούδι είναι σχεδόν γυμνή, ίσως επειδή είναι φανατικός."
Also LuckyMusiqLive she probably could help you make it big because I think you have talent. Just look her name up on the internet. Hit me up when you get this message,1,"Επίσης, η LuckyMusiqLive πιθανότατα θα μπορούσε να σας βοηθήσει να τα καταφέρετε γιατί πιστεύω ότι έχετε ταλέντο. Απλά ψάξτε το όνομά της στο διαδίκτυο. Χτυπήστε με όταν λάβετε αυτό το μήνυμα"
Check out my drum cover of E.T. here thanks gt watch v NO9pOVZ9OIQ amp list UUltuCDIHsDeI01by1OW7WuQ,1,Δείτε το εξώφυλλό μου στο ντραμς του E.T. εδώ ευχαριστώ gt watch v NO9pOVZ9OIQ λίστα ενισχυτών UUltuCDIHsDeI01by1OW7WuQ
Put famous people in the jungle for an hour and look what happens.,0,Βάλτε διάσημους ανθρώπους στη ζούγκλα για μια ώρα και δείτε τι συμβαίνει.
"She kind of let herself go, huh",0,"Κάπως άφησε τον εαυτό της να φύγει, ε"
we all love you Katy Perry lt 3,0,σε αγαπάμε όλοι Katy Perry lt 3
Sign up for free on TSU and start making money on social media add follow me and ill add follow you Link,1,Εγγραφείτε δωρεάν στο TSU και ξεκινήστε να κερδίζετε χρήματα στα μέσα κοινωνικής δικτύωσης
Love it when I can relate to my daughter's music. Katy Perry Roar Official Link,0,Μου αρέσει όταν μπορώ να συνδεθώ με τη μουσική της κόρης μου. Επίσημος σύνδεσμος Katy Perry Roar
Subscribe me and i subscribe you back,1,Εγγραφείτε με και θα σας εγγραφώ ξανά
Katy Perry Roar Official soundsofsunday music,0,Katy Perry Roar Επίσημοι ήχοι της Κυριακής
"When I hear Katy singing this, I cry. The song has got depth.",0,"Όταν ακούω την Katy να το τραγουδάει, κλαίω. Το τραγούδι έχει βάθος."
Love it,0,Το λατρεύω
People who believe in Illuminati are stupid the same people believe that 911 was made by the American government,0,Οι άνθρωποι που πιστεύουν στους Illuminati είναι ανόητοι οι ίδιοι άνθρωποι πιστεύουν ότι το 911 κατασκευάστηκε από την αμερικανική κυβέρνηση
plz subscribe to my channel i need subs and if you do i will sub back i need help,1,"Παρακαλώ εγγραφείτε στο κανάλι μου, χρειάζομαι συνδρομητές και αν το κάνετε, θα επιστρέψω, χρειάζομαι βοήθεια"
please look up DHG SONGS this is my playlist with a bunch of amazing songs,1,παρακαλώ αναζητήστε τα DHG SONGS αυτή είναι η λίστα αναπαραγωγής μου με ένα σωρό καταπληκτικά τραγούδια
Hey I am NERDY PEACH and I am a new youtuber and it would mean THE ABSOLUTE world to me if you could check them out lt 3 Hope you like them D,1,"Γεια σας, είμαι ο NERDY PEACH και είμαι νέος youtuber και θα σήμαινε τον ΑΠΟΛΥΤΟ κόσμο για μένα αν μπορούσατε να τα δείτε lt 3 Ελπίζω να σας αρέσουν D"
00 39 I Am pretty sure that tiger just wanted a hug,0,00 39 Είμαι σίγουρος ότι η τίγρη ήθελε απλώς μια αγκαλιά
this song gives me strength love her lyrics. this video really brings the lyrics to life. I am getting known fast because i rap with meaning.. thumbs up if you piss next to the water in the toilet so its quiet...,1,"αυτό το τραγούδι μου δίνει δύναμη αγαπώ τους στίχους της. αυτό το βίντεο ζωντανεύει πραγματικά τους στίχους. Γίνομαι γνωστός γρήγορα γιατί ραπάρω με νόημα... μπράβο αν τσαντίζεσαι δίπλα στο νερό στην τουαλέτα, οπότε είναι ήσυχο..."
i love you katy perry because you will sing nice than shakira,0,Σε αγαπώ Katy Perry γιατί θα τραγουδάς όμορφα από τη shakira
Facebook account HACK Link,1,Λογαριασμός Facebook HACK Link
I love katty perry,0,Λατρεύω την Katy Perry
The Perry you are doing a good job good job I love all of their videos and by the way can you please describe to my channel please please please please I am trying to get as many comments to Skyburst lights is a cancer and get famous please,1,The Perry κάνεις καλή δουλειά καλή δουλειά μου αρέσουν όλα τα βίντεό τους και παρεμπιπτόντως μπορείς να περιγράψεις στο κανάλι μου σε παρακαλώ παρακαλώ παρακαλώ προσπαθώ να πάρω όσα περισσότερα σχόλια στο Skyburst φώτα είναι καρκίνος και γίνε διάσημος σε παρακαλώ
I did a cover if you want to check it out THANK YOU.....Michael Age 8,1,Έκανα ένα εξώφυλλο αν θέλετε να το δείτε ΕΥΧΑΡΙΣΤΩ.....Michael Age 8
EVERYBODY PLEASE VOTE KATY AT EMA 2014 Best song Best female Best pop Best live Best look Best video PLEASE VOTE KATY PLEASE PLEASE PLEASE VOTE VOTE VOTE KATY KATY KATY,1,EVERYBODY PLEASE VOTE KATY AT EMA 2014 Καλύτερο τραγούδι Καλύτερο γυναικείο Καλύτερο ποπ Καλύτερη ζωντανή Καλύτερη εμφάνιση Καλύτερο βίντεο ΠΑΡΑΚΑΛΩ ΨΗΦΙΣΤΕ KATY ΠΑΡΑΚΑΛΩ ΨΗΦΙΣΤΕ ΠΑΡΑΚΑΛΩ ΨΗΦΙΣΤΕ ΨΗΦΙΣΤΕ KATY KATY KATY
h my god ... Roar is the most liked video at Vevo .. while 2 months ago was Justin's Baby.. congrats Katy . Applause lt 3,0,Θεέ μου... Το Roar είναι το βίντεο με τα περισσότερα like στο Vevo .. ενώ πριν 2 μήνες ήταν το Justin's Baby.. συγχαρητήρια Katy . Χειροκροτήματα lt 3
Link 1111111111111111111,1,Σύνδεσμος 1111111111111111111
I would rather hear some propa explicit gangsta rap insted of this garbage. This song is trash,0,Θα προτιμούσα να ακούσω κάποια στηρίγματα που να μιλούν ρητά γκάνγκστα ραπ αντί για αυτά τα σκουπίδια. Αυτό το τραγούδι είναι σκουπίδια
"DAMNNNNNNNN, she is sexy O O",0,"DAMNNNNNNNN, είναι σέξι O O"
Such a good song ans Katy sounds great over the melody. I Am growing as an artist everyday from my hit song 'CRAZY' which has got my name out there. cannot thank my fans more for their support. If you could take a moment to check it and my music maybe you will join me to make my dream come true thank you for your time,1,"Ένα τόσο καλό τραγούδι και η Katy ακούγεται υπέροχα στη μελωδία. Μεγαλώνω ως καλλιτέχνης καθημερινά από το επιτυχημένο τραγούδι μου CRAZY που έχει το όνομά μου εκεί έξω. Δεν μπορώ να ευχαριστήσω περισσότερο τους θαυμαστές μου για την υποστήριξή τους. Αν μπορείτε να αφιερώσετε λίγο χρόνο για να το ελέγξετε και τη μουσική μου, ίσως θα συμμετάσχετε μαζί μου για να πραγματοποιήσω το όνειρό μου, ευχαριστώ για τον χρόνο σας"
I LOVE YOU Because you make me smile when i am sad you cheer me up with your beautiful songs lt 3,0,ΣΕ ΑΓΑΠΩ Γιατί με κάνεις να χαμογελάω όταν είμαι λυπημένη με φτιάχνεις τη διάθεση με τα όμορφα τραγούδια σου lt 3
"This song is the most boring, asinine song I have ever heard. Coming from a guy who liked Teenage Dream the song . Ever since Katy Perry's divorce it is wave after wave of shitty but successful songs... For those of you saying This is the next wave of pop music . Stick it up your ass. Katy Perry is like Silly Putty.",0,"Αυτό το τραγούδι είναι το πιο βαρετό, ασυνήθιστο τραγούδι που έχω ακούσει ποτέ. Προερχόμενος από έναν τύπο που του άρεσε το τραγούδι του Teenage Dream. Από το διαζύγιο της Katy Perry είναι ένα κύμα σκοτεινών αλλά επιτυχημένων τραγουδιών... Για όσους από εσάς λέτε Αυτό είναι το επόμενο κύμα της ποπ μουσικής. Κόλλησέ το στον κώλο σου. Η Katy Perry είναι σαν το Silly Putty."
Katy Perry Roar Official Link I love this song and video Katy Perry Rocks Wahoo,0,Katy Perry Roar Επίσημος σύνδεσμος Λατρεύω αυτό το τραγούδι και το βίντεο Katy Perry Rocks Wahoo
And somehow she has access to makeup in the middle of the woods...,0,Και κάπως έχει πρόσβαση στο μακιγιάζ στη μέση του δάσους...
It looks so real and my daughter is a big fan and she likes a lot of your songs.,0,Φαίνεται τόσο αληθινό και η κόρη μου είναι μεγάλη θαυμάστρια και της αρέσουν πολλά από τα τραγούδια σου.
"I cannot comprehend why this video has nearly 700,000,000 views. Some people found 'Gangnam Style' funny so that explains its high view count but this is just an awful pop song. I really have no clue on this one.",0,"Δεν μπορώ να καταλάβω γιατί αυτό το βίντεο έχει σχεδόν 700.000.000 προβολές. Μερικοί άνθρωποι βρήκαν το Gangnam Style αστείο, έτσι εξηγείται ο υψηλός αριθμός προβολών του, αλλά αυτό είναι απλώς ένα απαίσιο ποπ τραγούδι. Πραγματικά δεν έχω ιδέα για αυτό."
"Let Us be honest, you would not last 1 day on your own in the jungle. Stop living n a fairy world.",0,"Ας είμαστε ειλικρινείς, δεν θα αντέχατε 1 μέρα μόνοι σας στη ζούγκλα. Σταματήστε να ζείτε σε έναν παραμυθένιο κόσμο."
me segue ha Link,1,me segue ha Link
"Nature is beautiful, no need to place tits in video to impress people.",0,"Η φύση είναι όμορφη, δεν χρειάζεται να τοποθετείτε βυζιά σε βίντεο για να εντυπωσιάσετε τους ανθρώπους."
This is so stupid. If you Roared at a Lion in real life you would dede,0,Αυτό είναι τόσο ηλίθιο. Αν βρυχόσασταν σε ένα λιοντάρι στην πραγματική ζωή θα το κάνατε
This song is so AWESOME She made everything stand out and all the viewers could imagine themselves at the setting of the video. Awesome Job Katy Perry,0,Αυτό το τραγούδι είναι τόσο φοβερό που έκανε τα πάντα να ξεχωρίζουν και όλοι οι θεατές μπορούσαν να φανταστούν τον εαυτό τους στο σκηνικό του βίντεο. Υπέροχη δουλειά Katy Perry
Katy Perry is lion,0,Η Katy Perry είναι λιοντάρι
"I have figured out why I dislike this song it is supposed to be a power ballad right Something that is uplifting and motivating by the end. However, the final chorus has NO extra UMPH at the end and actually sounds just like the first one. Instead of crescendo ing into a powerful finish, Roar just says on the same wavelength. It falls flat.",0,"Έχω καταλάβει γιατί δεν μου αρέσει αυτό το τραγούδι που υποτίθεται ότι είναι μια δυναμική μπαλάντα σωστά, κάτι που στο τέλος είναι ανεβαστικό και κίνητρο. Ωστόσο, το τελικό ρεφρέν ΔΕΝ έχει επιπλέον UMPH στο τέλος και στην πραγματικότητα ακούγεται ακριβώς όπως το πρώτο. Αντί να κάνει κρεσέντο σε ένα δυνατό φινίρισμα, ο Roar λέει απλώς στο ίδιο μήκος κύματος. Πέφτει ίσια."
i like this song the video goes perfect with it,0,Μου αρέσει αυτό το τραγούδι το βίντεο ταιριάζει τέλεια με αυτό
....because I AM a champion...and you are going to hear me roar Today I AM my own champion Today I AM a champion for the Creator Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and creating success,0,....γιατί ΕΙΜΑΙ πρωταθλητής...και θα με ακούσετε να βρυχιέμαι Σήμερα ΕΙΜΑΙ πρωταθλητής του εαυτού μου Σήμερα ΕΙΜΑΙ πρωταθλητής για τον Δημιουργό Σήμερα κάνω θετικά πράγματα στον κόσμο μου Σήμερα ευλογώ και θεραπεύω παντού εγώ Σήμερα ΕΙΜΑΙ επιτυχημένος και δημιουργώ επιτυχία
nowplaying Weekendmix track 04 Katy Perry Roar DJ Denis Shmelev amp DJ Alex Serov Remix Link Listen live at www.smartfm.nl livestream.html,1,τώρα παίζει Weekendmix κομμάτι 04 Katy Perry Roar DJ Denis Shmelev ενισχυτής DJ Alex Serov Remix Link Ακούστε ζωντανά στο www.smartfm.nl livestream.html
Katy Perry's songs are the best of the songs of women artists.,0,Τα τραγούδια της Katy Perry είναι τα καλύτερα από τα τραγούδια των γυναικών καλλιτεχνών.
i like this song because of all the animals and i like this song .,0,Μου αρέσει αυτό το τραγούδι λόγω όλων των ζώων και μου αρέσει αυτό το τραγούδι.
I love this song so much D I have heard it so much I pretty much memorized the lyrics,0,Μου αρέσει αυτό το τραγούδι τόσο πολύ D Το έχω ακούσει τόσο πολύ που λίγο πολύ απομνημόνευσα τους στίχους
